ita_id;id_ras_activity_data;ita_t;ita_micro;ita_mili ;ita_x;ita_y;ita_z;ita_is_calibration_data
18048498;3799;1,69564E+12;287132456;616;2.0443347;-0.13306707;0.25871074;false
18049183;3799;1,69564E+12;233998060;616;-0.21078207;0.062667154;0.17757516;true
18048499;3799;1,69564E+12;287149123;633;1.3219777;-0.23893201;-0.49260738;false
18049184;3799;1,69564E+12;234014727;633;-0.15635361;0.091287665;0.21829955;true
18048500;3799;1,69564E+12;287165790;650;1.0669156;-0.36261025;-0.36269376;false
18049185;3799;1,69564E+12;234031394;650;-0.16346528;0.068520375;0.129843;true
18048501;3799;1,69564E+12;287182457;666;1.5252092;0.07827008;-0.19103716;false
18049186;3799;1,69564E+12;234048061;666;-0.14969446;0.013720982;0.16179557;true
18048502;3799;1,69564E+12;287199124;683;2.2444751;0.81536794;0.23869257;false
18049187;3799;1,69564E+12;234064728;683;-0.20497338;0.032484572;0.15822983;true
18048503;3799;1,69564E+12;287215791;700;2.28001;6.8896107E-4;0.04533715;false
18049188;3799;1,69564E+12;234081395;700;-0.02937352;0.109136246;0.18495817;true
18048504;3799;1,69564E+12;287232458;716;4.109593;-0.56883216;0.016337087;false
18049189;3799;1,69564E+12;234098062;716;-0.036214538;0.12769197;0.1847158;true
18048505;3799;1,69564E+12;287249125;733;5.243028;1.5758656;-0.2941842;false
18049190;3799;1,69564E+12;234114729;733;-0.010560332;0.063775495;0.123058975;true
18048506;3799;1,69564E+12;287265792;750;1.1343378;1.3065921;-2.256319;false
18049191;3799;1,69564E+12;234131396;750;-0.0021462664;0.020631803;0.08256987;true
18048507;3799;1,69564E+12;287282459;766;-1.1393013;1.3898224;-1.8796021;false
18049192;3799;1,69564E+12;234148063;766;0.10065087;-0.011359074;0.1178522;true
18048508;3799;1,69564E+12;287299126;783;-0.112240694;0.4178546;-1.3864483;false
18049193;3799;1,69564E+12;234164730;783;0.035603657;-0.032701213;0.118180595;true
18048509;3799;1,69564E+12;287315793;800;0.53968644;0.5702788;-1.0819026;false
18049194;3799;1,69564E+12;234181397;800;0.073613785;-0.065445356;0.07296528;true
18048510;3799;1,69564E+12;287332460;816;0.548785;0.13918872;-1.1957581;false
18049195;3799;1,69564E+12;234198064;816;0.09559827;-0.08130688;0.07025488;true
18048511;3799;1,69564E+12;287349127;833;0.40789863;-0.46372247;-0.61909974;false
18049196;3799;1,69564E+12;234214731;833;0.047679696;-0.1402225;0.02028524;true
18048512;3799;1,69564E+12;287365794;850;0.31385306;-0.20413081;-0.41212347;false
18049197;3799;1,69564E+12;234231398;850;0.12603697;-0.17058071;0.07082016;true
18048513;3799;1,69564E+12;287382461;866;0.2348105;0.65030426;-0.50226057;false
18049198;3799;1,69564E+12;234248065;866;0.051680617;-0.23062442;0.04533164;true
18048514;3799;1,69564E+12;287399128;883;0.08478816;0.31682736;-0.3857518;false
18049199;3799;1,69564E+12;234264732;883;0.076543584;-0.24170262;0.06220566;true
18048515;3799;1,69564E+12;287415795;900;0.47516206;-0.104980305;-0.3486379;false
18049200;3799;1,69564E+12;234281399;900;0.079055905;-0.20066594;0.04829742;true
18048516;3799;1,69564E+12;287432462;916;1.6840801;0.23446599;-0.6211236;false
18049201;3799;1,69564E+12;234298066;916;0.15598154;-0.12928727;0.021150127;true
18048517;3799;1,69564E+12;287449129;933;12349.185;-191448.25;73141.266;false
18049202;3799;1,69564E+12;234314733;933;0.09158039;-0.08043031;-0.02298806;true
18048518;3799;1,69564E+12;287465796;950;-18947.762;192693.84;-73193.51;false
18049203;3799;1,69564E+12;234331400;950;0.13500078;-0.0575664;0.029500982;true
18048519;3799;1,69564E+12;287482463;966;-0.13158233;0.4739041;-1.2817513;false
18049204;3799;1,69564E+12;234348067;966;0.087343566;-0.031430326;0.055032346;true
18048520;3799;1,69564E+12;287499130;983;-1.681556;-0.98594785;0.6813659;false
18049205;3799;1,69564E+12;234364734;983;0.13950124;-0.019402023;0.05671469;true
18048521;3799;1,69564E+12;287515797;1000;-2.537285;-1.7679662;1.179026;false
18049206;3799;1,69564E+12;234381401;1000;0.11178989;-0.022503328;0.041618258;true
18048522;3799;1,69564E+12;287532464;1016;-2.9721763;-0.74813575;0.7499054;false
18049207;3799;1,69564E+12;234398068;1016;0.04271516;-0.016804313;0.052522596;true
18048523;3799;1,69564E+12;287549131;1033;-2.6514537;-1.0004135;0.74265146;false
18049208;3799;1,69564E+12;234414735;1033;0.005320886;-0.01178213;0.068608396;true
18048524;3799;1,69564E+12;287565798;1050;-3.5104592;-1.1041481;2.2724779;false
18049209;3799;1,69564E+12;234431402;1050;-0.015257476;0.008180001;0.091153026;true
18048525;3799;1,69564E+12;287582465;1066;-2.1800723;-1.236656;1.664839;false
18049210;3799;1,69564E+12;234448069;1066;-0.028679628;0.018830737;0.12375392;true
18048526;3799;1,69564E+12;287599132;1083;-3.1060343;-2.107829;2.7175388;false
18049211;3799;1,69564E+12;234464736;1083;-0.081672154;0.07963352;0.12927912;true
18048527;3799;1,69564E+12;287615799;1100;-5.395233;-3.0251913;4.3825912;false
18049212;3799;1,69564E+12;234481403;1100;-0.05612751;0.13520198;0.16312775;true
18048528;3799;1,69564E+12;287632466;1116;-5.6122046;-3.5200987;3.3811579;false
18049213;3799;1,69564E+12;234498070;1116;-0.08764336;0.08180306;0.17201853;true
18048529;3799;1,69564E+12;287649133;1133;-2.9372356;-3.188719;1.4160817;false
18049214;3799;1,69564E+12;234514737;1133;-0.19052452;0.020906387;0.15125453;true
18048530;3799;1,69564E+12;287665800;1150;-3.2791736;-3.5880358;0.87201667;false
18049215;3799;1,69564E+12;234531404;1150;-0.0754275;0.1442659;0.1465458;true
18048531;3799;1,69564E+12;287682467;1166;-2.7803211;-2.2208574;-0.67824864;false
18049216;3799;1,69564E+12;234548071;1166;-0.13068828;0.14578415;0.14474042;true
18048532;3799;1,69564E+12;287699134;1183;-1.2554648;0.6171366;-1.4814259;false
18049217;3799;1,69564E+12;234564738;1183;8.449941E-4;0.09011207;0.08672069;true
18048533;3799;1,69564E+12;287715801;1200;-1.6823994;0.5129083;-1.1553694;false
18049218;3799;1,69564E+12;234581405;1200;0.04624333;-0.0012562356;0.075291105;true
18048534;3799;1,69564E+12;287732468;1216;-5.4850097;-4.2749734;-1.964012;false
18049219;3799;1,69564E+12;234598072;1216;0.065335825;-0.029770073;0.10554652;true
18048535;3799;1,69564E+12;287749135;1233;-5.3061924;-7.587007;-5.167497;false
18049220;3799;1,69564E+12;234614739;1233;-0.06270143;-0.09650277;0.07035668;true
18048536;3799;1,69564E+12;287765802;1250;-0.17343198;-0.23062903;-5.953439;false
18049221;3799;1,69564E+12;234631406;1250;-0.09935282;-0.15718898;0.10107507;true
18048537;3799;1,69564E+12;287782469;1266;7.054553;9.313582;0.19504298;false
18049222;3799;1,69564E+12;234648073;1266;-0.011487172;-0.15197976;0.13727626;true
18048538;3799;1,69564E+12;287799136;1283;5.931794;7.6665697;2.2547607;false
18049223;3799;1,69564E+12;234664740;1283;-0.05726003;-0.08576207;0.1096079;true
18048539;3799;1,69564E+12;287815803;1300;0.9785129;1.6494128;-0.62293905;false
18049224;3799;1,69564E+12;234681407;1300;-0.09815867;0.013679595;0.109356366;true
18048540;3799;1,69564E+12;287832470;1316;-1.0499101;-1.7722083;-2.6113484;false
18049225;3799;1,69564E+12;234698074;1316;-0.06556127;0.013247895;0.13405548;true
18048541;3799;1,69564E+12;287849137;1333;0.8672391;0.28248724;0.31506923;false
18049226;3799;1,69564E+12;234714741;1333;-0.029831007;-0.02523999;0.12003464;true
18048542;3799;1,69564E+12;287865804;1350;4.4088078;2.1722977;3.3658001;false
18049227;3799;1,69564E+12;234731408;1350;0.05622226;-0.03712378;0.07620692;true
18048543;3799;1,69564E+12;287882471;1366;3.6812184;1.3658476;2.3290367;false
18049228;3799;1,69564E+12;234748075;1366;0.07873558;-0.047237836;0.08314645;true
18048544;3799;1,69564E+12;287899138;1383;1.1178919;-0.5262379;-0.4790782;false
18049229;3799;1,69564E+12;234764742;1383;0.09887974;0.012653757;0.06574396;true
18048545;3799;1,69564E+12;287915805;1400;0.8732655;-0.2468043;0.39068264;false
18049230;3799;1,69564E+12;234781409;1400;0.05356701;-0.041363105;0.086308315;true
